Connected to: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN62097261,02.12.2021071625
Number of samples: 19
[MJD: 60677.85276] Averaged frequency: 1.773632 MHz, period: 5.63814949998516342875E-07
Elapsed time: 950.90 ms

measurements counter=5.63814949998516342875E-07,gate=950.90 60677.85276
measurements counter=5.63748034299617223194E-07,gate=954.61 60677.85277
measurements counter=5.63748034299617223194E-07,gate=947.87 60677.85278
measurements counter=5.63781490163496617311E-07,gate=953.86 60677.85279
measurements counter=5.63748034299617223194E-07,gate=957.99 60677.85280
measurements counter=5.63681134482451715688E-07,gate=991.76 60677.85281
measurements counter=5.63781490163496617311E-07,gate=938.19 60677.85283
measurements counter=5.63848413805383248882E-07,gate=947.61 60677.85284
measurements counter=5.63580814522587732978E-07,gate=948.16 60677.85285
measurements counter=5.63781490163496617311E-07,gate=964.16 60677.85286
measurements counter=5.63814949998516342875E-07,gate=948.41 60677.85287
measurements counter=5.63781490163496617311E-07,gate=947.52 60677.85288
measurements counter=5.63948829064141786367E-07,gate=964.19 60677.85289
measurements counter=5.63781490163496617311E-07,gate=948.44 60677.85290
measurements counter=5.63781490163496617311E-07,gate=948.02 60677.85291
measurements counter=5.63781490163496617311E-07,gate=957.81 60677.85292
measurements counter=5.63814949998516342875E-07,gate=954.59 60677.85294
measurements counter=5.63881881584804925479E-07,gate=947.80 60677.85295
measurements counter=5.63848413805383248882E-07,gate=948.20 60677.85296
measurements counter=5.63647690527752221947E-07,gate=964.35 60677.85297
measurements counter=5.63681134482451715688E-07,gate=948.01 60677.85298
measurements counter=5.63748034299617223194E-07,gate=947.87 60677.85299
measurements counter=5.63681134482451715688E-07,gate=957.84 60677.85300
measurements counter=5.63814949998516342875E-07,gate=954.77 60677.85301
measurements counter=5.63748034299617223194E-07,gate=947.81 60677.85302
measurements counter=5.63814949998516342875E-07,gate=963.99 60677.85304
measurements counter=5.63714582406171205651E-07,gate=948.44 60677.85305
measurements counter=5.63714582406171205651E-07,gate=948.14 60677.85306
measurements counter=5.63814949998516342875E-07,gate=947.92 60677.85307
measurements counter=5.63681134482451715688E-07,gate=964.19 60677.85308
measurements counter=5.63881881584804925479E-07,gate=947.86 60677.85309
measurements counter=5.63814949998516342875E-07,gate=948.52 60677.85310
measurements counter=5.63748034299617223194E-07,gate=963.61 60677.85311
measurements counter=5.63647690527752221947E-07,gate=948.50 60677.85312
measurements counter=5.63647690527752221947E-07,gate=948.28 60677.85313
measurements counter=5.63848413805383248882E-07,gate=957.30 60677.85315
measurements counter=5.63781490163496617311E-07,gate=955.15 60677.85316
measurements counter=5.63781490163496617311E-07,gate=947.69 60677.85317
measurements counter=5.63948829064141786367E-07,gate=947.62 60677.85318
measurements counter=5.63681134482451715688E-07,gate=964.61 60677.85319
measurements counter=5.63714582406171205651E-07,gate=948.30 60677.85320
measurements counter=5.63714582406171205651E-07,gate=947.39 60677.85321
measurements counter=5.63748034299617223194E-07,gate=957.94 60677.85322
measurements counter=5.63814949998516342875E-07,gate=954.57 60677.85323
measurements counter=5.63814949998516342875E-07,gate=948.52 60677.85324
measurements counter=5.63848413805383248882E-07,gate=957.67 60677.85326
measurements counter=5.63781490163496617311E-07,gate=954.17 60677.85327
measurements counter=5.63714582406171205651E-07,gate=948.03 60677.85328
measurements counter=5.63881881584804925479E-07,gate=954.41 60677.85329
measurements counter=5.63748034299617223194E-07,gate=958.10 60677.85330
measurements counter=5.63714582406171205651E-07,gate=947.98 60677.85331
measurements counter=5.63748034299617223194E-07,gate=947.76 60677.85332
measurements counter=5.63748034299617223194E-07,gate=964.25 60677.85333
measurements counter=5.63748034299617223194E-07,gate=948.56 60677.85334
measurements counter=5.63614250541366298950E-07,gate=947.61 60677.85335
measurements counter=5.63781490163496617311E-07,gate=957.66 60677.85337
measurements counter=5.63814949998516342875E-07,gate=955.17 60677.85338
measurements counter=5.63781490163496617311E-07,gate=947.76 60677.85339
measurements counter=5.63781490163496617311E-07,gate=958.07 60677.85340
measurements counter=5.63781490163496617311E-07,gate=954.49 60677.85341
measurements counter=5.63748034299617223194E-07,gate=947.81 60677.85342
measurements counter=5.63681134482451715688E-07,gate=947.83 60677.85343
measurements counter=5.63681134482451715688E-07,gate=964.38 60677.85344
measurements counter=5.63714582406171205651E-07,gate=948.20 60677.85345
measurements counter=5.63848413805383248882E-07,gate=947.77 60677.85347
measurements counter=5.63748034299617223194E-07,gate=964.27 60677.85348
measurements counter=5.63681134482451715688E-07,gate=948.81 60677.85349
measurements counter=5.63881881584804925479E-07,gate=947.52 60677.85350
measurements counter=5.63681134482451715688E-07,gate=957.68 60677.85351
measurements counter=5.63881881584804925479E-07,gate=954.73 60677.85352
measurements counter=5.63814949998516342875E-07,gate=948.13 60677.85353
measurements counter=5.63681134482451715688E-07,gate=947.51 60677.85354
measurements counter=5.63781490163496617311E-07,gate=964.42 60677.85355
measurements counter=5.63614250541366298950E-07,gate=1031.04 60677.85357
measurements counter=5.63647690527752221947E-07,gate=948.25 60677.85358
